   44.0  20564  -80.1  -95.1      7   0.00    330     62  471.3  471.3  471.3
   41.0  20964  -80.2  -95.2      7   0.00    330     52  480.6  480.7  480.6
   38.1  21379  -80.3  -95.3      7   0.00    332     52  490.5  490.5  490.5
   36.4  21639  -78.7  -94.7      6   0.00    333     52  501.1  501.1  501.1
   34.0  22026  -79.6  -95.6      6   0.00    335     52  508.6  508.6  508.6
   32.7  22248  -80.1  -96.1      6   0.00    329     54  513.0  513.0  513.0
   30.0  22740  -76.9  -93.9      5   0.00    315     56  534.5  534.5  534.5
   29.5  22837  -75.9  -92.9      6   0.00    317     57  539.8  539.8  539.8
   29.0  22936  -76.0  -93.2      5   0.00    320     58  542.3  542.3  542.3
   27.4  23263  -76.1  -94.1      5   0.00    328     54  550.7  550.7  550.7
   27.0  23349  -75.6  -94.0      4   0.00    330     52  554.4  554.5  554.4
   26.0  23569  -74.3  -93.7      4   0.00    310     56  564.1  564.1  564.1
   24.5  23915  -72.3  -93.3      3   0.00    310     56  579.6  579.6  579.6
   24.2  23988  -73.1  -94.1      3   0.00    310     56  579.3  579.3  579.3
   22.0  24549  -72.2  -95.7      2   0.00    310     56  598.0  598.0  598.0
   21.0  24823  -71.8  -96.5      1   0.00    295     49  607.3  607.3  607.3
   20.0  25110  -71.3  -97.3      1   0.00    300     51  617.2  617.2  617.2
   18.8  25476  -71.1  -99.1      1   0.00    291     49  628.9  628.9  628.9
   18.0  25737  -69.4  -98.0      1   0.00    285     49  642.0  642.0  642.0
   16.1  26407  -65.1  -95.1      1   0.00    285     50  676.9  676.9  676.9
   16.0  26444  -65.2  -95.1      1   0.00    285     51  677.9  677.9  677.9
   15.0  26836  -65.8  -95.4      1   0.00    265     49  688.2  688.3  688.2
   14.0  27255  -66.5  -95.6      1   0.00    280     41  699.5  699.6  699.5
   13.8  27342  -66.7  -95.7      1   0.00    278     44  701.9  701.9  701.9
   13.2  27613  -62.9  -92.9      1   0.01    272     56  724.0  724.0  724.0
   12.0  28204  -59.7  -90.7      1   0.01    260     80  755.3  755.4  755.3
   11.7  28362  -60.7  -91.7      1   0.01    259     79  757.2  757.3  757.2
   10.9  28808  -55.9  -87.9      1   0.02    255     76  790.1  790.3  790.1
   10.0  29360  -52.7  -85.7      1   0.03    250     72  821.8  822.1  821.8
    9.0  30049  -48.8  -83.2      1   0.04    255     87  861.9  862.5  861.9
    8.9  30122  -48.4  -82.9      1   0.05    255     87  866.2  866.9  866.3
    8.6  30346  -47.1  -82.1      1   0.06                879.7  880.5  879.8
